Time,Treatment,OD_600
0,Water,0.085
0,SSE,0.082
0,P4_SSE,0.181
0,P4_SSE,0.179
0,Water,0.086
0,SSE,0.082
0,P4_SSE,0.177
0,P4_SSE,0.174
0,Water,0.084
0,SSE,0.083
0,P4_SSE,0.169
0,P4_SSE,0.175
1,Water,0.085
1,SSE,0.083
1,P4_SSE,0.184
1,P4_SSE,0.184
1,Water,0.087
1,SSE,0.082
1,P4_SSE,0.183
1,P4_SSE,0.185
1,Water,0.084
1,SSE,0.084
1,P4_SSE,0.175
1,P4_SSE,0.185
2,Water,0.085
2,SSE,0.083
2,P4_SSE,0.181
2,P4_SSE,0.182
2,Water,0.086
2,SSE,0.082
2,P4_SSE,0.18
2,P4_SSE,0.181
2,Water,0.084
2,SSE,0.083
2,P4_SSE,0.172
2,P4_SSE,0.181
3,Water,0.085
3,SSE,0.083
3,P4_SSE,0.179
3,P4_SSE,0.182
3,Water,0.085
3,SSE,0.082
3,P4_SSE,0.181
3,P4_SSE,0.182
3,Water,0.084
3,SSE,0.083
3,P4_SSE,0.172
3,P4_SSE,0.181
4,Water,0.085
4,SSE,0.083
4,P4_SSE,0.188
4,P4_SSE,0.191
4,Water,0.087
4,SSE,0.082
4,P4_SSE,0.193
4,P4_SSE,0.195
4,Water,0.084
4,SSE,0.083
4,P4_SSE,0.186
4,P4_SSE,0.195
5,Water,0.085
5,SSE,0.083
5,P4_SSE,0.208
5,P4_SSE,0.219
5,Water,0.086
5,SSE,0.082
5,P4_SSE,0.227
5,P4_SSE,0.233
5,Water,0.084
5,SSE,0.083
5,P4_SSE,0.213
5,P4_SSE,0.22
6,Water,0.085
6,SSE,0.083
6,P4_SSE,0.246
6,P4_SSE,0.266
6,Water,0.086
6,SSE,0.082
6,P4_SSE,0.273
6,P4_SSE,0.294
6,Water,0.084
6,SSE,0.083
6,P4_SSE,0.243
6,P4_SSE,0.262
7,Water,0.085
7,SSE,0.083
7,P4_SSE,0.284
7,P4_SSE,0.296
7,Water,0.087
7,SSE,0.082
7,P4_SSE,0.312
7,P4_SSE,0.321
7,Water,0.084
7,SSE,0.083
7,P4_SSE,0.27
7,P4_SSE,0.291
8,Water,0.085
8,SSE,0.083
8,P4_SSE,0.297
8,P4_SSE,0.329
8,Water,0.085
8,SSE,0.082
8,P4_SSE,0.326
8,P4_SSE,0.347
8,Water,0.084
8,SSE,0.084
8,P4_SSE,0.339
8,P4_SSE,0.314
9,Water,0.085
9,SSE,0.083
9,P4_SSE,0.299
9,P4_SSE,0.345
9,Water,0.086
9,SSE,0.082
9,P4_SSE,0.311
9,P4_SSE,0.348
9,Water,0.084
9,SSE,0.084
9,P4_SSE,0.301
9,P4_SSE,0.338
10,Water,0.086
10,SSE,0.083
10,P4_SSE,0.286
10,P4_SSE,0.323
10,Water,0.085
10,SSE,0.082
10,P4_SSE,0.313
10,P4_SSE,0.357
10,Water,0.085
10,SSE,0.084
10,P4_SSE,0.276
10,P4_SSE,0.317
11,Water,0.086
11,SSE,0.083
11,P4_SSE,0.289
11,P4_SSE,0.324
11,Water,0.086
11,SSE,0.083
11,P4_SSE,0.319
11,P4_SSE,0.355
11,Water,0.084
11,SSE,0.084
11,P4_SSE,0.277
11,P4_SSE,0.382
12,Water,0.085
12,SSE,0.083
12,P4_SSE,0.291
12,P4_SSE,0.327
12,Water,0.086
12,SSE,0.083
12,P4_SSE,0.329
12,P4_SSE,0.358
12,Water,0.085
12,SSE,0.084
12,P4_SSE,0.288
12,P4_SSE,0.285
13,Water,0.086
13,SSE,0.083
13,P4_SSE,0.296
13,P4_SSE,0.334
13,Water,0.087
13,SSE,0.082
13,P4_SSE,0.33
13,P4_SSE,0.365
13,Water,0.085
13,SSE,0.085
13,P4_SSE,0.302
13,P4_SSE,0.29
14,Water,0.086
14,SSE,0.083
14,P4_SSE,0.304
14,P4_SSE,0.343
14,Water,0.087
14,SSE,0.082
14,P4_SSE,0.334
14,P4_SSE,0.371
14,Water,0.086
14,SSE,0.085
14,P4_SSE,0.31
14,P4_SSE,0.303
15,Water,0.086
15,SSE,0.083
15,P4_SSE,0.312
15,P4_SSE,0.352
15,Water,0.087
15,SSE,0.083
15,P4_SSE,0.34
15,P4_SSE,0.376
15,Water,0.086
15,SSE,0.085
15,P4_SSE,0.323
15,P4_SSE,0.318
16,Water,0.086
16,SSE,0.083
16,P4_SSE,0.318
16,P4_SSE,0.357
16,Water,0.087
16,SSE,0.082
16,P4_SSE,0.342
16,P4_SSE,0.381
16,Water,0.086
16,SSE,0.085
16,P4_SSE,0.333
16,P4_SSE,0.323
17,Water,0.086
17,SSE,0.083
17,P4_SSE,0.324
17,P4_SSE,0.363
17,Water,0.088
17,SSE,0.082
17,P4_SSE,0.351
17,P4_SSE,0.386
17,Water,0.086
17,SSE,0.085
17,P4_SSE,0.336
17,P4_SSE,0.334
18,Water,0.086
18,SSE,0.083
18,P4_SSE,0.332
18,P4_SSE,0.367
18,Water,0.087
18,SSE,0.083
18,P4_SSE,0.353
18,P4_SSE,0.39
18,Water,0.087
18,SSE,0.085
18,P4_SSE,0.343
18,P4_SSE,0.34
19,Water,0.085
19,SSE,0.083
19,P4_SSE,0.338
19,P4_SSE,0.372
19,Water,0.087
19,SSE,0.082
19,P4_SSE,0.357
19,P4_SSE,0.395
19,Water,0.087
19,SSE,0.085
19,P4_SSE,0.38
19,P4_SSE,0.346
20,Water,0.086
20,SSE,0.083
20,P4_SSE,0.344
20,P4_SSE,0.376
20,Water,0.087
20,SSE,0.082
20,P4_SSE,0.363
20,P4_SSE,0.399
20,Water,0.087
20,SSE,0.085
20,P4_SSE,0.41
20,P4_SSE,0.353
21,Water,0.086
21,SSE,0.083
21,P4_SSE,0.349
21,P4_SSE,0.383
21,Water,0.087
21,SSE,0.082
21,P4_SSE,0.365
21,P4_SSE,0.416
21,Water,0.086
21,SSE,0.085
21,P4_SSE,0.362
21,P4_SSE,0.357
22,Water,0.086
22,SSE,0.083
22,P4_SSE,0.356
22,P4_SSE,0.389
22,Water,0.087
22,SSE,0.082
22,P4_SSE,0.371
22,P4_SSE,0.415
22,Water,0.086
22,SSE,0.085
22,P4_SSE,0.365
22,P4_SSE,0.363
23,Water,0.086
23,SSE,0.083
23,P4_SSE,0.363
23,P4_SSE,0.393
23,Water,0.088
23,SSE,0.083
23,P4_SSE,0.377
23,P4_SSE,0.417
23,Water,0.086
23,SSE,0.085
23,P4_SSE,0.371
23,P4_SSE,0.37
24,Water,0.086
24,SSE,0.083
24,P4_SSE,0.369
24,P4_SSE,0.396
24,Water,0.087
24,SSE,0.083
24,P4_SSE,0.379
24,P4_SSE,0.422
24,Water,0.086
24,SSE,0.085
24,P4_SSE,0.374
24,P4_SSE,0.375
